STATE,LOCATION,LATITUDE,LONGITUDE,d18O_wrt_SMOW_Corrected_Final,dD_wrt_SMOW_Corrected_Final,d-excess
Uttar Pradesh,Khajoori,25.79,78.81,-5.85,-41.76,5.04
Uttar Pradesh,Angdhari,25.82,78.91,-5.23,-38.8,3.04
Uttar Pradesh,Mahelva,25.82,78.97,-5.98,-43.25,4.59
Uttar Pradesh,Irach,25.79,79.09,-5.54,-44.01,0.31
Uttar Pradesh,Pandori,25.73,78.79,-4.42,-39.42,-4.06
Uttar Pradesh,Sahajanpur,25.76,78.83,-4.54,-37.42,-1.1
Uttar Pradesh,Chapar,25.74,78.89,-4.81,-36.83,1.65
Uttar Pradesh,Dhujond,25.76,78.99,-3.93,-33.91,-2.47
Uttar Pradesh,Panere,25.77,79.02,-5.37,-39.65,3.31
Uttar Pradesh,Duni,25.76,79.24,-5.17,-43.26,-1.9
Uttar Pradesh,Tharro,25.76,79.33,-4.02,-31.76,0.4
Uttar Pradesh,Gaduka,25.69,78.85,-4.16,-31.02,2.26
Uttar Pradesh,Amra,25.7,78.92,-4.14,-31.5,1.62
Uttar Pradesh,Kumdar,25.68,78.99,-5.54,-40.39,3.93
Uttar Pradesh,Karguaon,25.66,79.05,-4.64,-36.1,1.02
Uttar Pradesh,Singar,25.7,79.18,-4.34,-34.28,0.44
Uttar Pradesh,Parsua,25.66,79.24,-4.99,-37.14,2.78
Uttar Pradesh,Kakrai,25.69,79.33,-5.35,-37.66,5.14
Uttar Pradesh,Nand siya,25.63,78.84,-4.59,-37.48,-0.76
Uttar Pradesh,Karkas,25.63,78.9,-5.01,-37.57,2.51
Uttar Pradesh,Dinaura,25.63,78.98,-3.38,-29.8,-2.76
Uttar Pradesh,Indi,25.63,79.13,-3.09,-27.83,-3.11
Uttar Pradesh,Gursarai,25.63,79.18,-2.79,-25.85,-3.53
Uttar Pradesh,Ragholi,25.62,79.26,-5.26,-38.87,3.21
Uttar Pradesh,Hiranagar,25.64,79.32,-5.45,-40.16,3.44
Uttar Pradesh,Shimraha,25.54,78.45,-5.69,-41.53,3.99
Uttar Pradesh,Rounija,25.56,78.53,-4.64,-35.55,1.57
Uttar Pradesh,Kot baheta,25.55,78.59,-3.15,-27.15,-1.95
Uttar Pradesh,Mawai gird,25.56,78.65,-3.9,-32.01,-0.81
Uttar Pradesh,Atwei,25.57,78.72,-5.63,-42.02,3.02
Uttar Pradesh,Jariyayi,25.57,78.79,-3.4,-27.42,-0.22
Uttar Pradesh,Sia,25.58,78.86,-5.11,-38.27,2.61
Uttar Pradesh,Luhargaon,25.59,78.92,-5.29,-39.13,3.19
Uttar Pradesh,Sitora,25.58,78.99,-4.86,-37.78,1.1
Uttar Pradesh,Laudi,25.59,79.06,-5.42,-38.58,4.78
Uttar Pradesh,Mai gaon,25.55,79.1,-4.4,-32.51,2.69
Uttar Pradesh,Bhagwantpur,25.56,79.19,-5.85,-41.53,5.27
Uttar Pradesh,Madha,25.57,79.24,-4.7,-36.26,1.34
Uttar Pradesh,Garatha,25.57,79.3,-5.06,-36.15,4.33
Uttar Pradesh,Dhakoli,25.49,78.45,-4.9,-37.24,1.96
Uttar Pradesh,Parwai,25.5,78.52,-5.04,-37.82,2.5
Uttar Pradesh,Boodha (Open Well),25.5,78.58,-3.25,-28.14,-2.14
Uttar Pradesh,Takori,25.49,78.65,-2.46,-17.95,1.73
Uttar Pradesh,Baratha,25.5,78.73,-5.11,-39.46,1.42
Uttar Pradesh,Parechha,25.51,78.78,-4.05,-32.62,-0.22
Uttar Pradesh,Dhamana,25.51,78.83,-4.5,-34.96,1.04
Uttar Pradesh,Tai,25.5,79,-4.58,-33.84,2.8
Uttar Pradesh,Khiriya,25.51,79.07,-5.87,-41.41,5.55
Uttar Pradesh,Dharwai,25.48,79.04,-4.43,-31.49,3.95
Uttar Pradesh,Garah,25.5,79.18,-5.36,-36.92,5.96
Uttar Pradesh,Samdha,25.5,79.28,-5.1,-36.7,4.1
Uttar Pradesh,Rajapur,25.43,78.4,-5.17,-36.91,4.45
Uttar Pradesh,Khebada,25.45,78.45,-4.32,-34.82,-0.26
Uttar Pradesh,Nagra,25.43,78.53,-3.26,-27.09,-1.01
Uttar Pradesh,Talpura,25.45,78.59,-4.72,-35.53,2.23
Uttar Pradesh,Bhagwantpura,25.43,78.64,-5.31,-36.11,6.37
Uttar Pradesh,Bhoopnagar,25.45,78.72,-4.61,-33.77,3.11
Uttar Pradesh,Kudiyan,25.47,78.95,-5.37,-36.58,6.38
